Name,Telnet,Location,Software
"NUT ASYLUM (WILDCAT)","108.29.0.206","Brooklyn, NY, USA","Wildcat"
"NWONKNU","bbs.nwonknu.net","Seattle, WA, USA","Synchronet"
"OASIS BBS","oasisbbs.hopto.org:6400","Chesapeake, VA, USA","Color 64"
"OFF THE WALL","offthewall.dmxrob.net","Phoenix, AZ, USA","WWIV"
"OIRAN ALIEN MUSEUM","libido.cx","Tokyo, , Japan","Custom"
"OLD HIGHLAND BORG","ohb.synchronetbbs.org","Atlanta, GA, USA","Synchronet"
"OLD NET BBS","theoldnet.com:6400","Toronto, ON, Canada","commodore"
"OLD SCHOOL BBS","oldschool.synchronetbbs.org:513","Stuart , FL, USA","Synchronet"
"OLD TIME BBS (MYSTIC)","oldtimebbs.com","Rochester, NY, USA","Mystic"
"OLD TIME BBS (SYNCHRONET)","206.81.1.60","Rochester, NY, USA","Synchronet"
"OLD TIME'S SAKE BBS","otsbbs.ddns.net:2323","Athens, , Greece","RemoteAccess"
"OLDEST FUTURE OBJECT","ofo.tw","Taipei, , Taiwan","Sun of Beach"
"OMICRON BBS","95.81.28.55:2003","Norderstedt, , Germany","Mystic"
"ONIX BBS","onixbbs.servebbs.com:2525","Philadelphia, PA, USA","MajorBBS"
"ONLINE BBS","online-bbs.selfhost.bz","Oldenburg, , Germany","Telser"
"ONYX","185.139.32.178","Frankfurt am Main, , Germany","Synchronet"
"OPERATION IVY BBS","opivy-bbs.com","Delmar, DE, USA","Mystic"
"OPTICAL ILLUSION BBS","optical.c64bbs.nu:64128","Puyallup, WA, USA","C-Base"
"OPTO 22 BBS","bbs.opto22.com","Temecula, CA, USA","Wildcat"
"ORCHESTRA BBS","sacrebase.mywire.org:486","Fort Worth, TX, USA","Virtual Advanced"
"OSHABOY BBS","top-swadba.de:2323","Frankfurt am Main, , Germany","Mystic"
"OUTER LIMITS, THE","outerlimitsbbs.ddns.net","Madison, AL, USA","Synchronet"
"OUTPOST 9","bbs.outpost9.co:2023","Glen Burnie, MD, USA","WWIV"
"OUTREMER","52.36.77.149","Boardman, OR, USA","Mystic"
"OUTTA CONTROL HACKERS TWGS","76.242.166.61:2002","Sanford, FL, USA","TWGS"
"OUTTA CONTROL MAJORBBS","76.242.166.61","Sanford, FL, USA","MajorBBS"
"OUTWEST BBS","outwest.synchro.net","Clearfield, UT, USA","Synchronet"
"P.U.L.S.E. BBS WORLD HQ","pulsebbs.hopto.org:1984","Melbourne, Victoria, Australia","Mystic"
"PALADIUM BBS","paladium.servebbs.com:20","Merrill, WI, USA","Wildcat"
"PALANTIR BBS (1)","palantirbbs.ddns.net","Pensacola, FL, USA","Synchronet"
"PAPICHULO'S MAJORBBS","75.31.92.35","Smyrna, GA, USA","MajorBBS"
"PARADOX BBS (1)","paradoxbbs.synchronetbbs.org:513","Houston, TX, USA","Synchronet"
"PARADOX BBS (2)","18.222.210.54","Hilliard, OH, USA","Worldgroup"
"PARANOID BBS","88.80.185.171","London, , England","BBBS"
"PART-TIME BBS","ptbbs.ddns.net:8000","Portland, OR, USA","BBS Express Pro"
"PARTICLES! BBS","particlesbbs.dyndns.org:6400","Bentonville, AR, USA","Centipede 128 BBS"
"PARTY BOWL BBS","173.88.167.44:2323","Cleveland, OH, USA","Synchronet"
"PATH UNKNOWN BBS","pathunknown.net","Boston, MA, USA","Synchronet"
"PEBKAC.LOL","pebkac.lol","Moses Lake, WA, USA","Synchronet"
"PENALTY BOX BBS","thepenaltybox.org","Peoria, IL, USA","MajorBBS"
"PEPZI BBS","pepzi.eu","Gothenburg, , Sweden","Synchronet"
"PERFORMANCE LEASING SYSTEMS","97.76.12.194","Ellenton, FL, USA","Wildcat"
"PERSONAL HOME CLOUD","75.26.216.248:24","Homestead, FL, USA","Wildcat"
"PESTO BBS","bbs.pewp.us","Morris Plains, NJ, USA","Synchronet"
"PETIT CAILLOU BBS","bbs.jayscafe.net:6402","Houma, LA, USA","Image BBS"
"PHANTASM","phantasm.bbs.io:4489","UK, UK, UK","AmiExpress"
"PHANTOM BBS","bbs.phantombbs.info","White Oak, PA, USA","Mystic"
"PHARCYDE BBS","bbs.pharcyde.org","Pewaukee, WI, USA","Synchronet"
"PHASESHIFT","phased.port0.org:2323","Coquitlam, BC, Canada","Worldgroup"
"PHATSTAR TELEPORTER","198.71.48.13:7777","Kansas City, MO, USA","Mystic"
"PHOENIX BBS","phoenix.bnbbbs.net","Groton, CT, USA","MBSE"
"PHOSPHER BBS","bbs.phospher.com","Fremont, CA, USA","Synchronet"
"PHREAKNET","bbs.phreaknet.org","Philadelphia, PA, USA","Lightweight BBS"
"PIPELINE BBS","bbs.wantit.net","Commerce City, CO, USA","Synchronet"
"PIRANHA BBS","blackflag.acid.org:27","Hudson, FL, USA","Mystic"
"PIRATE'S COVE TWGS","38.188.130.43","Surprise, AZ, USA","TWGS"
"PIXELGROUNDS BBS (ENIGMA 1/2)","bbs.pixelgrounds.net:8888","Lake Jackson, TX, USA","Enigma 1/2"
"PIXELGROUNDS BBS (WORLDGROUP)","bbs.pixelgrounds.net:8887","Lake Jackson, TX, USA","Worldgroup"
"PLANET AFR0","planetafr0.org:8888","Pinellas Park, FL, USA","Enigma 1/2"
"PLASMA SPHERE BBS","84.92.196.99","Manchester, , England","ArmBBS"
"PLAY LORD","playlord.org","Trenton, NJ, USA","Mystic"
"PLAYMAJORMUD.COM","playmajormud.com","Elk Grove Village, IL, USA","MajorBBS"
"PMF BBS","bbs.venerandi.it","Nuremberg, , Germany","Synchronet"
"POAST BBS","bbs.poast.org","Staten Island, NY, USA","Enigma 1/2"
"POIGNANT BEACON (PHAROS BBS)","bbs.pharos.rocks","Tokyo, , Japan","HBBS"
"POOL'S OPEN – THE RETROSWIM BBS","ezycom.retroswim.net:2323","Brisbane, QLD, Australia","Ezycom"
"PORT OF CALL BBS (IMAGE)","pocbbs.duckdns.org:6400","Port Charlotte, FL, USA","Image BBS"
"PORT OF CALL BBS (RENEGADE)","pocbbs.duckdns.org","Port Charlotte, FL, USA","Renegade"
"PORT OF CALL BBS (SYNCHRONET)","pocbbs.duckdns.org:2323","Port Charlotte, FL, USA","Synchronet"
"POT O' GOLD BBS","50.69.236.52:2513","Prince George, BC, Canada","Synchronet"
"PRETZEL SYSTEMS BBS","pretzels.onthewifi.com:2323","Carbonia, , Italy","Synchronet"
"PRIMENET","primenet.synchro.net","Kingman, AZ, USA","Synchronet"
"PRO-KEGS","proline.ksherlock.com:6523","St Cloud, , USA","ProLine"
"Telnet: 45.79.37.227","45.79.37.227","Dallas, TX, USA","Synchronet"
"PUBLIC ELECTRONIC NETWORKED INFORMATION SYSTEM","penisys.online:6502","Mesa, AZ, USA","WWIV"
"PWECK'S RETREAT BBS","pwecksretreat.com","Omaha, NE, USA","Mystic"
"QL DUMP","001english-eu.no-ip.biz","Fenstanton, , England","Synchronet"
"QUANTUM WORMHOLE, THE","bbs.erb.pw","Ramsgate, Kent, UK","Mystic"
"QUAZAR BBS DOOR GAME SERVER","quazarbbs.dynu.net:2523","Eloy, AZ, USA","GameSrv"
"QUEST FOR ZEN","96.231.233.46","Laurel, MD, USA","Worldgroup"
"QUEST TWGS","thequesttwgs.game-host.org","Holland, MI, USA","TWGS"
"RADIO FREAKS & GEEKS","radiostream.amigaz.org:2323","Troy, NY, USA","Mystic"
"RAGNAROK'S BBS","186.189.236.69:23021","Buenos Aires, , Argentina","Mystic"
"* RAIDERS INC. BBS","raidersbbs.zapto.org:1337","Maryville, TN, USA","Mystic"
"RALSER LAB BBS","euklid.ddns.net:5745","Berlin, , Germany","Enigma 1/2"
"RAMPTON BIRDS' BOX","www.fidonet.fi:32","Frankfurt am Main, , Germany","Concord"
"RAPIDFIRE","rapidfire.hopto.org:64128","Flensburg, , Germany","C-Base"
"RATS DEN BBS","bbs.catracing.org:6400","Seoul, , South Korea","CNet Pro"
"RAVEN OF THE STORM","50.20.127.213","Chandler, AZ, USA","Synchronet"
"RAVEOLUTION","raveolution.hopto.org:64128","Wuppertal, , Germany","C-Base"
"RAYZER'S BBS","mail.hohimer.org:1336","St. Louis, MO, USA","Mystic"
"RAYZERNET BBS","connect.rayzer.net:2112","Russellville, KY, USA","Mystic"
"RAZZ PIE BBS","razzpie.ddns.net:2300","Clearfield, UT, USA","Mystic"
"RBB SYSTEMS INT'L","rbb.fidonet.fi:32","Lake Ylo, , Finland","Concord"
"RC-BOX","rc2014.ddns.net:2014","Duesseldorf, NRW, Germany","RBBS"
"REALITYCHECK BBS","realitycheckbbs.org","San Francisco, CA, USA","Synchronet"
"REALM BBS","therealm.synchro.net","Calgary, AB, Canada","Synchronet"
"REALM OF DARKNESS","bbs.trod.org","Phoenix, AZ, USA","MBSE"
"REALM OF SERION","connect.serionbbs.com","Cloquet, MN, USA","Synchronet"
"REALM OF THE WIZARD'S LAIR","bbs.b-wells.us","Houston, TX, USA","Synchronet"
"RED DRAGON BBS","108.52.154.224","Malvern, PA, USA","Synchronet"
"RED STAR BBS","3.134.173.120:2323","Columbus, OH, USA","Synchronet"
"REGION 15 HQ","region15.net","Maryville, TN, USA","Mystic"
"REICHBBS","64.127.144.48","Clayton, NM, USA","Worldgroup"
"REIGN OF FIRE","call.rofbbs.com:6800","Chattanooga, TN, USA","C-Net"
"REIGN OF FIRE II","call.rofbbs.com:6400","Chattanooga, TN, USA","C-Net"
"REIGN OF FIRE III","call.rofbbs.com:8502","Chattanooga, TN, USA","C-Net"
"RETICULUM ACE","bbs.acehoss.net","North Bergen, NJ, USA","Synchronet"
"RETRO ARCHIVE","bbs.retroarchive.org","Poulsbo, WA, USA","Synchronet"
"RETRO RUNNING BBS","retrorunning.ddns.net:8880","Mechanicsville, VA, USA","Synchronet"
"RETRO UNBOXERS","flashbackbbs.sytes.net:6502","Sparti, , Greece","Mystic"
"RETRO16 BBS","mail.drf-solutions.net","Melbourne, VIC, Australia","Mystic"
"RETRO32 BBS","bbs.retro32.com:1337","London, , England","Mystic"
"RETROAKTIV BBS","retr0aktiv.com","Greensboro, NC, USA","Mystic"
"RETROCONNECT","retroconnect.org","Cleveland, TN, USA","Synchronet"
"RETRODIGITAL BBS","rdnetbbs.com","Calgary, AB, Canada","Synchronet"
"RETROGAMING ACTIVITIES","react-bbs.nikoh.it:2323","Pescara, , Italy","Mystic"
"RETROGRADE BBS","rtg.dyndns.biz:6428","Lakeland, FL, USA","Image BBS"
"RETROGRADE II BBS","cib.dyndns.org:6404","Lakeland, FL, USA","Image BBS"
"RETROLAIR BBS","retrolair.amigaretro.net:6800","Edmonton, AB, Canada","C-Net"
"RETRONET NEO","retronetneo.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"RETROVERSE","bbs.retroverse.au:23023","Sydney, NSW, Australia","Mystic"
"REVERSE POLARITY","revpol.lovelybits.org:1337","Seattle, WA, USA","Synchronet"
"RICHARD'S FUN HOUSE","richardf.synchro.net","Moorhead, MN, USA","Synchronet"
"RICKS BBS","ricksbbs.synchro.net","Madison, NC, USA","Synchronet"
"RISE N' SHINE BBS","rns.risenshinebbs.com","Morristown, NJ, USA","Synchronet"
"RIVER STYX BBS","riverstyx.ddns.net:2323","St Louis, MO, USA","Mystic"
"RMSBBS","rmsbbs.ddns.net","Natal, , Brazil","Synchronet"
"ROCK BBS III","therockbbs.net:10023","Goshen, IN, USA","Mystic"
"ROCKVILLE TAVERN","bbs.rockvilletavern.com","Vernon, CT, USA","Worldgroup"
"ROGUE GROUP TWGS","bestbudgetmanager.com:2002","Tempe, AZ, USA","TWGS"
"ROON'S BBS","bbs.roonsbbs.hu:1212","Budapest, , Hungary","Maximus"
"ROUGENET BBS","bbs.roguenet.work:8888","Peabody, MA, USA","Enigma 1/2"
"ROUGHNECK BBS","host.roughneckbbs.com","Phoenix, AZ, USA","Synchronet"
"ROUGUE BBS (CHINESE)","35.201.128.35","Taipei, , Taiwan","Champion"
"RUSTY MAILBOX","trmb.ca:2030","Penticton, BC, Canada","BBBS"
"SANCTUARY BBS","sanctuary.zapto.org:1541","Gothenburg, , Sweden","AmiExpress"
"SANCTUM II BBS (MYSTIC)","sanctumbbs.com","Coachella Valley, CA, USA","Mystic"
"SANDS OF TIME","162.243.54.214","New York, NY, USA","Custom"
"SANTRONICS R&D BETA SITE","3.132.92.116:24","Columbus, OH, USA","Wildcat"
"SANTRONICS SOFTWARE","online.winserver.com:24","Homestead, FL, USA","Wildcat"
"SATELLITE4","satellite4.dynu.net:6400","Tyler Hill, PA, USA","Color 64"
"SBB SYSTEMS","bbs.sbbsystems.com:8888","London, , England","Enigma 1/2"
"SCENE LIST (1)","scenelist.org","The Hague, , The Netherlands","Daydream"
"SCENE LIST (2)","87.212.201.57:4000","Amsterdam, , The Netherlands","Daydream"
"SCOOBY'S DOO BBS","scoobysdoo.ddns.net:2023","Canonsburg, PA, USA","ProBoard"
"SCRATCHED REALITY","reality.throwbackbbs.com:2323","Meriden, CT, USA","Telegard"
"SD2IEC TEST BBS","cib.dyndns.org:6403","Lakeland, FL, USA","Image BBS"
"SDF-1 BBS","bbs.sdf1.net:5023","Santa Clara, CA, USA","Mystic"
"SEA BREEZE GAMING NETWORK (SYNCHRONET)","seabreeze.servegame.com:31","Saco, ME, USA","Synchronet"
"SEA BREEZE GAMING NETWORK (TWGS)","seabreeze.servegame.com:2002","Biddeford, ME, USA","TWGS"
"SEA BREEZE GAMING NETWORK (WORLDGROUP)","seabreeze.servegame.com","Biddeford, ME, USA","Worldgroup"
"SEA OF FANTASY","seaoffantasy.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"SEATTLE BBS (CHINESE)","seattle.tw","Taipei, , Taiwan","MapleBBS"
"SECTION 31 TWGS","sector31.lorfinglab.com:2002","Houston, TX, USA","TWGS"
"SEPTIMA CORPORATE BBS","3.72.83.34","Frankfurt am Main, , Germany","Enigma 1/2"
"SHADOW BBS","shadowbbs.com","Glendale Heights, IL, USA","DOC"
"SHADOWORKS BBS","bbs.shadoworks.net","Baltimore, MD, USA","Synchronet"
"SHADOWSCOPE","shadowscope.noip.us","Temple, GA, USA","Mystic"
"SHADOWTHRONE","109.247.190.78:2323","Bergen, , Norway","BBBS"
"SHAMROCK BBS","104.246.170.121","Sault Ste. Marie, ON, Canada","Synchronet"
"SHENK'S EXPRESS","shenksxp.dyndns.org","Virginia Beach, VA, USA","Synchronet"
"SHIPWRECKS & SHIBBOLETHS","shibboleths.org:800","Marana, AZ, USA","Mystic"
"SHURATO'S HEAVENLY SPHERE","shsbbs.net","Boise, ID, USA","EleBBS"
"SILICONGRAPHICS BBS","bbs.flexion.io:7777","Zurich, , Switzerland","Mystic"
"SILICONUNDERGROUND","siliconu.com","Rochester, NY, USA","ProBoard"
"* SILVERMERE","silvermerebbs.org","Ashburn, VA, USA","Worldgroup"
"SINCLAIR RETRO BBS","retrobbs.sinclair.homepc.it","San Giorgio di Mantova, , Italy","Mystic"
"SINNER'S HEAVEN","207.246.74.70","Tampa, FL, USA","Mystic"
"SKARA BREA","80.7.90.17:31337","York, , England","AmiExpress"
"SKYNET BBS (1)","47.25.173.251","Okanogan, WA, USA","Worldgroup"
"SKYNET BBS (2)","bbs.skynetbbs.com:20023","Medellin, , Columbia","Mystic"
"SLACKERS BBS","slackers.ovh:2323",", , Canada","Mystic"
"SLASHER BBS","162.118.68.104","North Carrollton, MS, USA","ProBoard"
"SLIME CITY BBS","bbs.retrohack.se","Ahus, , Sweden","Mystic"
"SNOBSOFT BBS","snobsoft.de:6401","Rapid City, MI, USA","commodore"
"SOCKET BBS","45.79.43.40:1337","Richardson, TX, USA","Mystic"
"SOFT SOLUTIONS","bbs.softsolutions.net.br:2023","Sao Pedro, , Brazil","Synchronet"
"SOLAR BEE","5.64.189.202","London, , England","Synchronet"
"SOLARFLOW BBS","solarflow.dynu.net","Hayward, CA, USA","IBBS"
"SOLO BBS","bbs.solobsd.org","Dallas, TX, USA","Synchronet"
"SORCERORS ISLE","96.231.233.53","Laurel, MD, USA","Worldgroup"
"SOTANO MSX BBS","sotanomsxbbs.org","Ibiza, , Spain","Mystic"
"SOUNDS OF SILENCE BBS","sos-bbs.net","Rancho Cucamonga, CA, USA","MajorBBS, Worldgroup"
"SOUTH CENTRAL","southcentral.se:1023","Klippan, , Sweden","Max BBS"
"SOUTHEAST STAR","sestar.synchro.net","Sanford, NC, USA","Synchronet"
"SOUTHERN AMIS","southernamis.ddns.net","Southern, CA, USA","Atari"
"SPACESST BBS","gallaxial.com","Montreal, QC, Canada","Mystic"
"SPADES BBS","spades.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"SPAGHETTI HUT","spaghettihut.amigaretro.net:6800","St. Albert, AB, Canada","C-Net"
"SPARK BEER BBS","bbs.spark.beer","Ottawa, ON, Canada","Enigma 1/2"
"SPARX BBS","sparx.bbs.io","Oxford, , England","Custom"
"SPLATTER HAUS","splatter.haus:666","Temple Hills, MD, USA","Mystic"
"SPRAWL BBS","202.61.251.17","Klagenfurt am Woerthersee, , Austria","Mystic"
"SQUARED CIRCLE BBS","45.79.93.198","Fremont, CA, USA","Synchronet"
"STAR COLLISION BBS","scbbs.nsupdate.info:61023","Uppsala, Uppland, Sweden","Mystic"
"STAR FLEET HQ","bbs.sfhqbbs.org:5983","Cuyahoga Falls, OH, USA","RATSoft"
"STAR FLIGHT BBS","stateoftheark.ca:1990","Calgary, AB, Canada","Renegade"
"STAR KILLER'S TWGS","sk-twgs.com:2002","Charleston, AR, USA","TWGS"
"STAR MANSION RETURNS","66.23.221.29:2323","Reading, PA, USA","Synchronet"
"STARBASE 11 BBS","bbs.starbase11.de:2323","Mischelbach, , Germany","Mystic"
"STARBASE 21","bbs.starbase21.net","Lafayette, LA, USA","MajorBBS"
"STARBUG BBS","starbugbbs.com","Kent, , England","Synchronet"
"STARDOC 134","bbs.stardoc134.com:2323","Ann Arbor, MI, USA","WWIV"
"STARSHIP JUNKYARD","bbs.starshipjunkyard.com","Brisbane, QLD, Australia","Synchronet"
"STEVEN'S HIVE BBS","stevensbbs.stevenshive.xyz","Portland, OR, USA","Synchronet"
"STORM BBS","telnet.stormbbs.com","Münster, NRW, Germany","Mystic"
"STORMGATE BBS","stormgate.synchronetbbs.org","Fremont, CA, USA","Synchronet"
"STRANGE PLANET BBS","strangeplanet.org:6800","Helsinki, Finland, StrangePlanet","CNet"
"STREET CORNER BBS","streetcorner.ddns.net:6400","Madisonville, LA, USA","Image BBS"
"STRIP IT TO RIDE","104.142.112.149:9000","Victoria, BC, Canada","Enigma 1/2"
"SUBCARRIER BBS","subcarrier.ignorelist.com:2323","Nepean, ON, Canada","Mystic"
"SUBHUMAN","subhuman.ddns.net:1338","Rhyl, , Wales","AmiExpress"
"SUGAR TEST BBS","bbs.lizsugar.me:6000","Chicago, IL, USA","Synchronet"
"SUMXIN BBS (CHINESE)","39.105.182.131:6666","Beijing, , China","Custom"
"SUPER DIMENSION FORTRESS (SDF-1)","sdf.org","Austin, TX, USA","NetBSD"
"SURF SHOP BBS (1)","ssbbs.ddns.net:6510","Williamston, NC, USA","Color 64"
"SURF SHOP BBS (2)","ssbbs.ddns.net:6502","Williamston, NC, USA","C-Base"
"SURSUM CORDA TWGS","sursum-corda.com:2002","Huntsville, AL, USA","TWGS"
"SWAP BBS","dose.0wnz.at","Vienna, , Austria","Synchronet"
"SWATS BBS","swatsbbs.ddns.net:2323","Auckland, , New Zealand","Mystic"
"SWEDISH USER GROUP OF AMIGA","suga.se:42512","Akersberga, , Sweden","NiKom"
"SWISSIRC BBS","bbs.swissirc.net","Aarau, , Switzerland","Mystic"
"SWORDS OF CHAOS FOREVER BBS","bbs.soc4ever.com","St. Louis, MO, USA","Worldgroup"
"SYNCHRONIX","nix.synchro.net","Grand Rapids, MI, USA","Synchronet"
"SYNERCHAT","synerchat.com","Phoenix, AZ, USA","Worldgroup"
"SYSOP SOLARIS DOT COM (MENU)","sysopsolaris.ddns.net:2323","Perrysburg, OH, USA","Mystic"
"SYSTEM ONE BBS","cib.dyndns.org:6491","Lakeland, FL, US","Image BBS"
"TACO PRONTO","tacopronto.bbs.io","Mesa, AZ, USA","Synchronet"
"TARDIS","bbs.cortex-media.info","Exmouth, , England","Quarkware"
"TASSIE BOB BBS","bbs.tassiebob.com:2323","Brisbane, QLD, Australia","Mystic"
"TECHNOANARCHY","technoanarchy.synchronetbbs.org:513","Fremont, CA, USA","Synchronet"
"TECHRONO BBS","techrono.synchro.net","Toronto, ON, Canada","Synchronet"
"TECHWARE","bbs.techware2k.com","Hollywood, CA, USA","Wildcat"
"TELBOX","telbox.net","North Bergen, NJ, USA","Custom"
"TELEHACK","telehack.com","Mountain View, CA, USA","Telehack"
"TEMPEST FURY BBS","tempestfury.d2g.com","New York, NY, USA","Synchronet"
"TERMINAL OBSESSION","terminal-obsession.hopto.org:1541","Cologne, , Germany","AmiExpress"
"TERRA BRASILIS","tbrasilis.ddns.net:23000","Rio de Janeiro, , Brazil","Mystic"
"TERRAN EMPIRE","73.178.46.44:1017","Camden, NJ, USA","Mystic"
"TFSI BBS","bbs.tfsi.dev","London, , England","Synchronet"
"THE BBS","24.237.16.152","Juneau, AK, USA","Synchronet"
"THEO BBS","bbs.theoretically.net:60723","Binghamton, NY, USA","Mystic"
"THERE CAN ONLY BE ONE (TCOB1)","194.36.65.41","Dublin, , Ireland","BBBS"
"THIS OLD CABIN (ENGLISH)","bbs.thisoldcabin.net:6464","Akersberga, , Sweden","DLG Professional"
"THIS OLD CABIN (SWEDISH)","bbs.thisoldcabin.net:2323","Visby, Gotland, Sweden","DLG Professional"
"THRACE BBS","bbs.tabakov.net:13023","Plovdiv, , Bulgaria","Mystic"
"THREE BLIND MICE","threeblindmice.synchronetbbs.org","London, , England","Synchronet"
"THROWBACK BBS","bbs.throwbackbbs.com","Meriden, CT, USA","Mystic"
"THUNDER BBS","149.56.47.118:1023","Salaberry-de-Valleyfield, QC, Canada","Mystic"
"THUNDER-LINE BBS","thunder.synchro.net","Tupelo, MS, USA","Synchronet"
"* THUNDERBOLT BBS","tbolt.synchro.net:49815","Little Rock, AR, USA","Synchronet"
"TIGERNET BBS","tigernet.dewindt.us","Blacksburg, VA, USA","YAWC"
"TILDE BBS","tilde.sbs","Warsaw, , Poland","Talisman BBS"
"TIME WARP BBS","twb.wrgnbr.com:6896","Yorktown Heights, NY, USA","Centipede 128 BBS"
"TIME WARP OF FUTURE","time.synchro.net:24","Cougar, WA, USA","Synchronet"
"TIMELORD BBS","teehill.adirondackpc.com:2020","Glens Falls, NY, USA","Synchronet"
"TITANTIC BBS TELNET, THE","ttb.rgbbs.info","New Derry, PA, USA","Renegade"
"TOMATO PLACE","bbs.tomato.place:8888","San Diego, CA, USA","Enigma 1/2"
"TOMMY'S HOLIDAY CAMP","vintage.thcbbs.com","Victoria, BC, Canada","NanoBBS"
"TOO LAZY BBS","toolazy.synchro.net:2323","Fayetteville, NC, USA","Synchronet"
"TOOL SHED","toolshed.synchro.net:2323","Zurich, , Switzerland","Synchronet"
"TOTALLY NERD BBS","totallynerd.com:5523","Waco, TX, USA","Synchronet"
"TOXIC LABORATORY BBS","toxicbbs.com","Birmingham, , United Kingdom","Synchronet"
"TQPS","tqps.ddns.net","Sydney, NSW, Australia","Worldgroup"
"TRADE WARS ACADEMY TWGS","tradewarsacademy.com:2002","Dallas, TX, USA","TWGS"
"TRADE WARS CLUB","ta97-portal.win:2002","Buffalo, NY, USA","TWGS"
"TRANSFER INTERRUPED BBS","news.belchi.org:2323","Murica, , Spain","Synchronet"
"TRANSGENDER AIRLINES BBS","corsysystem.org:2300","Trent Hills, ON, Canada","Synchronet"
"TRASHCAN BBS","bbs.thenet.gen.nz:2324","Christchurch, , New Zealand","Searchlight"
"TRIANGLES MAFIA BBS","bbs.trianglesmafia.com","Oklahoma City, OK, USA","Wildcat"
"TSINGHUA UNIV. (FENGQIAO STN.)","bbs.cs.nthu.edu.tw","Hsinchu, , Taiwan","MapleBBS"
"TUXEDOCAT LOUNGE","bbs.tuxedocatbbs.com:2323","Fremont, CA, USA","Wildcat"
"TVRI BBS","fruity.turbit.eu","Frankfurt am Main, , Germany","Synchronet"
"TW LOUNGE BBS","bbs.twlounge.net","Cranberry Twp. (Pittsburgh), PA, USA","Synchronet"
"* TWIXED BBS","twixed.net:62323","Burke, VA, USA","Mystic"
"TWO GIRL BBS","bbs.2girl.net","Taipei, , Taiwan","Custom"
"TYCHO STATION","bbs.tychostation.it","Bergamo, , Italy","Synchronet"
"UNCENSORED!","uncensored.citadel.org","Mt. Kisco, NY, USA","Citadel"
"UNCOMFORTABLE BUSINESS","bbs.uncomfortable.business:6423","Dallas, TX, USA","Telegard"
"UNDERCURRENTS BBS","undercurrents.io:8088","Santa Clara, CA, USA","Enigma 1/2"
"UNDERGROUND BBS","www.theunderground.us:10023","Lafayette, IN, USA","Mystic"
"UNDERMINE BBS","bbs.undermine.ca","Calgary, AB, Canada","Synchronet"
"UNDERNET BBS","undernet.uy","Montevideo, , Uruguay","Mystic"
"UNICYBER BBS","bbs.unicyber.co.uk:2323","Hitchin, , United Kingdom","Synchronet"
"UNIX-BIT BBS","x-bit.org:1336","Forest Grove, OR, USA","Synchronet"
"UNKNOWN REALM (MYSTIC)","turealm.no-ip.org:3023","Oshawa, ON, Canada","Mystic"
"UNKNOWN REALM (PCBOARD)","turealm.no-ip.org:2323","Oshawa, ON, Canada","PCBoard"
"UNLEASHED BBS","www.unleashedinet.org","Washington, IL, USA","Synchronet"
"UOREALMS BBS","bbs.uorealms.com","Millsboro, DE, USA","MajorBBS"
"US 99 BBS","bbs.quinnnet.org","Clovis, CA, USA","Synchronet"
"USERCLUB BBS","userclub-bbs.com","Jacksonville, NC, USA","Synchronet"
"USS EXCELSIOR BBS","excelsiorbbs.ddns.net:2000","London, ON, Canada","Mystic"
"UTIL'S RETRO BBS","retro.setsuid.net:8221","Dallas, TX, USA","WWIV"
"UZI SUICIDE","uzisuicide.servebbs.org","Fishers Island, NY, USA","AmiExpress"
"V01D C1PH3R","bbs.canerduh.com:23056","Medicine Hat, AB, Canada","Synchronet"
"VAGUE BBS","vague.ddns.net","Largo, FL, USA","Synchronet"
"VALLEY BBS (1)","valleybbs.com","Summerland, BC, Canada","Synchronet"
"VALLEY BBS (2)","valley64.com:6400","Cedar Knolls, NJ, USA","C-Base"
"VAULT BBS","thevaultbbs.ddns.net:2323","Buenos Aires, , Argentina","Mystic"
"VELENO BBS","velenobbs.net","Rovereto, , Italy","Synchronet"
"VERIFY-NEBULA","verify-nebula.kicks-ass.net","London, , England","Synchronet"
"VERN BBS","vern.cc","Ashburn, VA, USA","Synchronet"
"VERTRAUEN","vert.synchro.net","Riverside County, CA, USA","Synchronet"
"* VIOLETI BBS","violetyggdrasil.live:1144","Locust Grove, VA, USA","Mystic"
"VIPER BBS, THE","theviperbbs.ddnsfree.com","Silver Springs, NV, USA","Synchronet"
"VIPER'S PIT TWGS","sk-twgs.com:2002","Kansas City, MO, USA","TWGS"
"VK7HDM'S BBS","workstation.ddmcomputers.com.au:2323","Sydney, NSW, Australia","Mystic"
"VOID BBS","voidbbs.com","Seattle, WA, USA","Worldgroup"
"VORTEX BBS (1)","vortexbbs.com","Clemson, SC, USA","Mystic"
"VORTEX BBS (2)","vortex.redirectme.net:3777","Novi Sad, , Serbia","Wildcat"
"W4BFB","packet.w4bfb.org:2333","Charlotte, NC, USA","BPQ32"
"WABAC MACHINE BBS","wabac.ccsnet.com","Plymouth, MA, USA","Worldgroup"
"WALL BBS","99.53.196.18","St. Louis, MO, USA","Synchronet"
"WALLED CITY","bbs.walledctty.com:1989","Fort Collins, CO, USA","TAG"
"WAR ENSEMBLE BBS","warensemble.com","Appleton, WI, USA","Synchronet"
"WASSUP","wassup.the.net.nz","Los Angeles, CA, USA","Synchronet"
